Session,Kind,EventRow,CurrentStart,CurrentEnd,NativeStart,NativeEnd,CurrentAmplitude,NativeWindowAmplitude,CurrentStatus,NativeWindowStatus
M400-03-baseline-iso,sink,11,249,259,254,258,0.0550032765374385,0.0477894429931138,valid,valid
M400-03-baseline-iso,sink,12,278,283,278,280,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-03-baseline-iso,sink,13,364,368,364,366,0.0381112909568774,0.0290373954200999,valid,valid
M400-03-baseline-iso,sink,14,593,598,593,595,0.0382822823981473,0.0382822823981473,valid,valid
M400-03-baseline-iso,sink,15,489,538,497,499,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-03-baseline-iso,sink,16,12,17,14,16,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-03-baseline-iso,sink,17,157,196,185,190,0.0532593574849337,NaN,valid,insufficient_clean_prebaseline
M400-03-baseline-iso,sink,18,231,233,231,233,0.0971992939786517,0.0971992939786517,valid,valid
M400-03-baseline-iso,sink,19,400,409,406,408,0.0577493751255441,0.0505205849916688,valid,valid
M400-03-baseline-iso,sink,20,421,432,428,430,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-03-baseline-iso,sink,21,16,22,18,20,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-03-baseline-iso,sink,22,236,246,238,240,0.0559406121084128,0.053227571265243,valid,valid
M400-03-baseline-iso,sink,23,572,581,577,579,0.0574993719119,0.0513258263304063,valid,valid
M400-03-baseline-iso,sink,24,213,220,215,217,0.0821598156231582,0.0807229979537067,valid,valid
M400-03-baseline-iso,sink,25,580,594,582,584,0.0639733427158145,0.0578093327416779,valid,valid
M400-03-baseline-iso,sink,26,19,25,22,25,NaN,0.030605424363239,insufficient_clean_prebaseline,valid
M400-03-baseline-iso,sink,27,215,220,216,219,0.0390092367964119,0.0376133976098448,valid,valid
M400-03-baseline-iso,sink,28,22,37,24,26,0.0431728076052654,0.0431544289952927,valid,valid
M400-03-baseline-iso,sink,29,23,39,25,27,0.0540366801447663,0.0538222770184358,valid,valid
M400-03-baseline-iso,sink,30,27,43,32,38,0.0473827746363317,0.0417838863618822,valid,valid
M400-03-baseline-iso,sink,31,24,38,33,35,0.0515978862515227,NaN,valid,insufficient_clean_prebaseline
M400-03-baseline-iso,sink,32,164,190,171,174,0.0362927515698265,0.0142790625485023,valid,valid
M400-03-baseline-iso,sink,33,180,189,185,187,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-03-baseline-iso,sink,34,349,360,351,354,0.0581514989286147,0.0558010698686119,valid,valid
M400-03-baseline-iso,sink,35,516,529,524,526,0.0632965423662935,0.0376898081114984,valid,valid
M400-03-baseline-iso,sink,36,86,107,89,100,0.0497030914810851,0.0477429559423421,valid,valid
M400-03-baseline-iso,sink,37,319,342,326,331,0.0478048358337043,0.0328812373938518,valid,valid
M400-03-baseline-iso,sink,38,41,48,43,45,0.0283579424297704,0.0289223662799853,valid,valid
M400-03-baseline-iso,sink,39,45,55,46,48,0.0157804789062349,0.0153584653675712,valid,valid
M400-03-baseline-iso,sink,40,201,212,205,207,0.0426474185329629,0.0425354107218289,valid,valid
M400-03-baseline-iso,sink,41,268,275,271,273,0.0625357660930782,0.0588307600220188,valid,valid
M400-03-baseline-iso,sink,42,376,393,388,391,NaN,0.0394945415642102,insufficient_clean_prebaseline,valid
M400-03-baseline-iso,sink,43,49,60,54,56,0.0292475465580769,0.031605464836464,valid,valid
M400-03-baseline-iso,sink,44,273,283,276,278,0.0859777739294103,0.0800558459553056,valid,valid
