RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Session,Case
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,36,1,46,432,459,432,459,7444,20,4,0,16,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,37,1,47,468,478,468,478,1623,20,20,0,0,0,81.3199938385706,81.3199938385706,valid,valid,0.0222654771641813,0.0222654771641813,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,38,1,48,535,544,535,544,4349,20,20,0,0,0,80.7997930558749,80.7997930558749,valid,valid,0.0391370703842336,0.0391370703842336,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,39,1,49,559,569,559,569,1612,20,20,0,0,0,102.986042183623,102.986042183623,valid,valid,0.0371144515355681,0.0371144515355681,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,40,1,50,580,600,580,600,2616,20,12,0,8,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,41,1,51,590,600,590,600,1407,20,20,0,0,0,99.7588130774698,99.7588130774698,valid,valid,0.00598707686235423,0.00598707686235423,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/shrinking_clean,surge,1,1,1,3,14,3,14,1680,20,2,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,shrinking_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/shrinking_clean,surge,2,1,2,7,18,7,18,1555,20,6,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,shrinking_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/shrinking_clean,surge,3,1,3,27,36,27,36,1296,20,20,0,0,0,125.000308641975,125.000308641975,valid,valid,0.00875059567754157,0.00875059567754157,0,1,0,M400-01-baseline-awake,shrinking_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/shrinking_clean,surge,4,1,4,56,71,56,71,4654,20,5,0,15,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,shrinking_clean
