Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,EventRow,LocalRow,Context,NativeStartFrame,NativeEndFrame,TemplateRiseSec,TemplatePlateauSec,TemplateRecoverySec,TemplateShape,PulseCoefficientOverFitMedian
resolved,189,189,144,208,25.1939389497551,185,191,6,169,188,535.570074692796,0.0197682106741619,provisional_valid,FB2312-baseline-awake,9,26,pulse,204,214,10,0,20,linear,0.0327761674072062
insufficient_improvement,NaN,290,264,328,3.16579061870601,288,290,2,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,10,29,pulse,324,333,2,40,2,linear,0.0186805692587751
insufficient_improvement,NaN,362,342,406,1.34150143412366,362,362,0,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,11,32,pulse,402,412,2,20,30,sine_squared,0.0189061056296262
resolved,434,434,413,475,28.0518813221334,433,435,2,414,433,571.970638280876,0.00792012802865338,provisional_valid,FB2312-baseline-awake,12,35,pulse,471,490,30,0,20,linear,0.0469562138599937
insufficient_clean_context,NaN,NaN,491,498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,13,38,pulse,494,503,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,526,504,535,-5.66102818225228,524,526,2,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,14,41,pulse,531,552,2,0,5,sine_squared,0.0243725382795866
insufficient_improvement,NaN,601,581,645,-7.44166644400767,601,617,16,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,15,44,pulse,641,650,20,20,2,linear,0.0205091103944307
insufficient_improvement,NaN,671,651,688,-11.7280610054413,671,671,0,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,16,47,pulse,684,695,2,0,15,sine_squared,0.0139536668945057
insufficient_improvement,NaN,24,1,28,4.28285865088457,21,24,3,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,17,50,pulse,24,53,5,0,2,linear,0.0697532460107836
insufficient_clean_context,NaN,NaN,37,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,18,53,pulse,37,46,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,47,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,19,56,pulse,51,63,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,126,76,137,-14.0437653802912,119,132,13,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,20,59,pulse,133,143,2,10,2,linear,0.0418423433346341
insufficient_improvement,NaN,250,207,255,-8.78742981282165,246,251,5,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,21,62,pulse,251,265,5,0,20,linear,0.0901731066678296
insufficient_improvement,NaN,355,321,359,-6.40808062439416,353,355,2,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,22,65,pulse,355,370,5,0,2,sine_squared,0.130971953676666
insufficient_clean_context,NaN,NaN,371,376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,23,68,pulse,372,389,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,356,362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,24,71,pulse,358,369,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,357,326,370,-9.826620316717,355,357,2,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,25,74,pulse,366,378,2,5,20,sine_squared,0.0726738895820033
insufficient_clean_context,NaN,NaN,379,384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,26,77,pulse,380,398,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,355,327,382,-5.58047065622028,355,355,0,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,27,80,pulse,378,398,5,0,20,sine_squared,0.0800388211589724
insufficient_improvement,NaN,511,488,516,-12.3377915410504,510,512,2,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,28,83,pulse,512,523,2,0,5,sine_squared,0.0612198902957308
insufficient_clean_context,NaN,NaN,434,442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,29,86,pulse,438,452,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,495,520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,30,89,pulse,516,527,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,431,453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,31,92,pulse,449,458,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,603,583,620,-11.8246778008587,603,604,1,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,32,95,pulse,616,630,5,0,10,sine_squared,0.0751201310278437
insufficient_improvement,NaN,816,764,828,-6.86180228068154,809,816,7,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,33,98,pulse,824,834,2,20,2,linear,0.0655254374095003
insufficient_improvement,NaN,590,570,625,-11.5051259145468,590,592,2,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,34,101,pulse,621,631,45,0,2,linear,0.24823270486805
insufficient_improvement,NaN,790,759,823,-12.0042606214282,788,816,28,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,35,104,pulse,819,835,2,40,2,linear,0.0589930877599119
insufficient_clean_context,NaN,NaN,659,665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,36,107,pulse,661,676,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,697,677,734,-17.0487645415345,697,697,0,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,37,110,pulse,730,739,2,5,30,sine_squared,0.0241445834223406
insufficient_improvement,NaN,814,764,828,5.86127377103354,808,816,8,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,38,113,pulse,824,833,45,0,2,linear,0.318160645755861
insufficient_clean_context,NaN,NaN,852,858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,39,116,pulse,854,867,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,903,878,942,-5.94229673009698,900,904,4,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,40,119,pulse,938,947,2,20,15,sine_squared,0.035906060086828
insufficient_clean_context,NaN,NaN,1,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2411,1,2,pulse,4,24,NaN,NaN,NaN,unassessed,NaN
