Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec
M400-01-baseline-awake,17,development,selection,144,155,insufficient_clean_context,NaN,144,148,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,18,development,rising,156,169,insufficient_clean_context,NaN,156,160,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,18,development,pulse,156,169,insufficient_clean_context,NaN,156,160,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,18,development,selection,156,169,insufficient_clean_context,NaN,156,160,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,19,development,rising,363,388,insufficient_improvement,NaN,341,367,NaN,NaN,NaN,NaN,onset_unresolved,-0.00227772152588712,-7.65605240558199,NaN,none,no_model_evidence,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,19,development,pulse,363,388,insufficient_improvement,NaN,341,367,NaN,NaN,NaN,NaN,onset_unresolved,-0.00227772152588712,-7.65605240558199,NaN,none,no_model_evidence,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,19,development,selection,363,388,no_model_evidence,NaN,341,367,NaN,NaN,NaN,NaN,onset_unresolved,-0.00227772152588712,-7.65605240558199,NaN,none,no_model_evidence,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,20,development,rising,158,187,insufficient_clean_context,NaN,149,162,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,20,development,pulse,158,187,insufficient_clean_context,NaN,149,162,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,20,development,selection,158,187,insufficient_clean_context,NaN,149,162,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,21,development,rising,189,210,insufficient_clean_context,NaN,188,193,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,21,development,pulse,189,210,insufficient_clean_context,NaN,188,193,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,21,development,selection,189,210,insufficient_clean_context,NaN,188,193,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
