Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,BaselineAboveOnePercent,NegativeRawAmplitude
ID13-20200917,88,additional,selection,198,222,resolved,188,165,202,168,187,5.75145579188152,0.226486222817943,provisional_valid,0.81733347395374,12.8801146652343,12.8801146652343,pulse,resolved,NaN,NaN,1,0.2,23,exponential,25,173,1,0,15,0,0.17457747119157,-19.4033966619804,0.0920984869025545,-11.2957525328362,15,0,1,0,2,1,0
ID13-20200917,88,additional,selection,198,222,resolved,186,165,202,166,185,5.36038564089018,0.315965261170595,provisional_valid,33.133140272095,91.8410530546999,91.8410530546999,pulse,resolved,NaN,NaN,2,0.2,23,quadratic,25,173,1,0,13,0,0.103105802765711,-12.2021727504084,0.0151606154711843,-1.9950843298044,13,0,1,1,0,1,0
ID13-20200917,100,additional,selection,1049,1059,resolved,1036,989,1053,1016,1035,4.56042071332871,0.260920758345511,provisional_valid,78.3293886395325,91.4005615424142,91.4005615424142,pulse,resolved,NaN,NaN,2,0.2,23,quadratic,25,1024,1,0,12,0,0.102400247550536,-11.5099470155198,0.0123475442727603,-1.55692748881135,12,0,0,0,NaN,1,0
ID13-20200917,104,additional,selection,690,700,resolved,678,653,694,658,677,3.86474039464438,0.441340359066784,provisional_valid,16.8585898621888,16.1572686186507,16.8585898621888,rising,resolved,4,6,2,0.2,23,quadratic,25,665,1,0,13,0,0.103078227711203,-12.960297310593,0.0158158399408324,-2.27960084192622,13,0,0,0,NaN,1,0
ID13-20200917,117,additional,selection,894,906,resolved,882,834,898,862,881,9.56878092493311,0.22452517271274,provisional_valid,34.1407089180564,30.0231705994151,34.1407089180564,rising,resolved,NaN,NaN,2,0.2,23,quadratic,25,869,1,0,13,0,0.101597301897434,-11.9211851020168,0.0137821557796447,-1.68765966864233,13,0,0,0,NaN,1,0
ID13-20200917,129,additional,selection,1154,1164,resolved,1146,1098,1158,1126,1145,10.5713458604896,0.187100857067414,provisional_valid,28.6360456627236,19.9665868462831,28.6360456627236,rising,resolved,NaN,NaN,2,0.2,23,quadratic,25,1129,1,1,17,0,0.0998265665369202,-11.3302760780388,0.0334023217835249,-3.96519248172638,17,0,0,0,NaN,1,0
ID13-20200917,130,additional,selection,894,903,resolved,886,865,898,866,885,8.35832739316727,0.137696963779209,provisional_valid,9.15037722269381,11.7722329217691,11.7722329217691,pulse,resolved,NaN,NaN,1,0.1,23,quadratic,25,869,1,0,17,0,0.050490053768915,-5.59934438769856,0.0161699049086284,-1.83964517191448,17,0,0,0,NaN,1,0
ID13-20200917,130,additional,selection,894,903,resolved,886,865,898,866,885,8.49133011100986,0.221683795310141,provisional_valid,10.5680307958567,22.6650806690905,22.6650806690905,pulse,resolved,NaN,NaN,2,0.2,23,quadratic,25,869,1,0,17,0,0.10098010753783,-11.6565010921705,0.0323398098172563,-3.95090215971539,17,0,0,0,NaN,1,0
FB2316-baseline,12,additional,selection,367,377,resolved,364,330,371,344,363,1218.94949276849,0.0498495979580518,provisional_valid,28.1874100194163,19.6369277316537,28.1874100194163,rising,resolved,NaN,NaN,2,0.02,7,gamma,25,342,1,0,22,0,0.0131643776640471,-1.37990728926245,0.0148605035998128,-1.56012937297179,20,0,1,0,1,1,0
FB2316-baseline,12,additional,selection,367,377,resolved,364,330,371,344,363,1223.78311654628,0.0508278853365796,provisional_valid,27.8342380263136,19.8256497056238,27.8342380263136,rising,resolved,NaN,NaN,2,0.02,7,exponential,25,342,1,0,22,0,0.018272228680497,-1.91505106563008,0.0188848326556421,-1.98447087644638,20,0,1,0,1,1,0
FB2316-baseline,12,additional,selection,367,377,resolved,365,330,371,345,364,1222.85014549316,0.0441014265575204,provisional_valid,18.1052447043008,8.9658377755899,18.1052447043008,rising,resolved,NaN,NaN,1,0.02,7,quadratic,25,342,1,0,23,0,0.0164221286658042,-1.71193770781068,0.016703021709144,-1.74396487943385,20,0,1,0,2,1,0
FB2316-baseline,12,additional,selection,367,377,resolved,364,330,371,344,363,1219.93658824155,0.0660383887219809,provisional_valid,44.9564240047545,37.5517475420652,44.9564240047545,rising,resolved,NaN,NaN,2,0.02,23,gamma,25,342,1,0,22,0,0.0174932734448623,-1.85552294629483,0.0156823294546391,-1.67179652232308,20,0,1,0,1,1,0
FB2316-baseline,12,additional,selection,367,377,resolved,364,330,371,344,363,1219.90850365347,0.0675515164479323,provisional_valid,46.1354735946999,38.5960274496672,46.1354735946999,rising,resolved,NaN,NaN,2,0.02,23,exponential,25,342,1,0,22,0,0.0173863378579806,-1.84694942896015,0.0156589470754931,-1.67167326964206,20,0,1,0,1,1,0
FB2316-baseline,25,additional,selection,208,217,resolved,199,178,212,179,198,6901.55639132403,0.109445362595907,provisional_valid,7.94611621667993,28.1845832892219,28.1845832892219,pulse,resolved,NaN,NaN,1,0.1,23,quadratic,25,183,1,0,16,0,0.0505596483470245,-5.38223659136197,0.014174751474521,-1.57261122893566,16,0,0,0,NaN,1,0
FB2316-baseline,25,additional,selection,208,217,resolved,199,178,212,179,198,6998.01693374256,0.19362122241892,provisional_valid,8.27969187091043,38.3423606030384,38.3423606030384,pulse,resolved,NaN,NaN,1,0.2,23,quadratic,25,183,1,0,16,0,0.10111929669405,-11.2038602526155,0.0283495029490417,-3.38385683650038,16,0,0,0,NaN,1,0
FB2316-baseline,26,additional,selection,848,861,resolved,823,788,852,803,822,6144.3591682243,-0.00731595477954916,provisional_valid,32.5477809111774,50.7538740157447,50.7538740157447,pulse,resolved,NaN,NaN,1,0.02,7,gamma,25,823,1,0,0,1,0.0131959570556635,-1.30448935347744,0,0,0,1,0,0,NaN,0,1
