Session,Case,Frame,RecipePeak1Parent,RecipePeak2Parent,SupportState,Outcome,PreviousCandidates,MinimumPreviousHistoryFrames,MarkerDistanceUm,SaddleDropFraction
M400-01-baseline-awake,crossing_pair,127,6,6,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,128,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,129,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,130,3,3,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,131,2,2,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,132,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,133,5,5,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,134,7,7,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,135,6,6,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,136,7,7,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,137,9,9,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,138,6,6,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,139,3,3,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,140,2,2,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,141,3,3,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,142,6,6,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,143,5,5,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,144,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,145,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,6,320.22892202298,0.960776509974732
M400-01-baseline-awake,crossing_pair,146,4,4,recipe_peaks_in_one_native_candidate,insufficient_previous_coverage,2,7,NaN,NaN
M400-01-baseline-awake,crossing_pair,147,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
